Job_id,Title,Description,Location,Company_profile,Requirements,Benefits,Required_experience,Required_education,Industry,Function,Telecommuting,Fraudulent
1,HR Manager,HR Manager role with responsibilities in HR management.,"Mumbai, IN",AI Solutions,"Networking, Linux",Flexible hours,3-5 years,MBA,Finance,Management,0,1
2,Machine Learning Engineer,Machine Learning Engineer role with responsibilities in marketing.,"Chennai, IN",MarketPros,"Agile, Scrum, Communication",Health insurance,2-3 years,Bachelor's Degree,Marketing,Software Development,0,1
3,HR Manager,HR Manager role with responsibilities in design.,"Mumbai, IN",NetSecure,"Networking, Linux",Flexible hours,3-5 years,MBA,Consulting,Business Analysis,0,1
4,Network Administrator,Network Administrator role with responsibilities in marketing.,"Pune, IN",MarketPros,"Figma, Adobe XD",Paid leave,3-5 years,Bachelor's Degree,Finance,Software Development,0,1
5,Machine Learning Engineer,Machine Learning Engineer role with responsibilities in analytics.,"Pune, IN",NetSecure,"Agile, Scrum, Communication",Stock options,3-5 years,Bachelor's Degree,Finance,IT Operations,0,1
6,Machine Learning Engineer,Machine Learning Engineer role with responsibilities in software development.,"Chennai, IN",XYZ Pvt Ltd,"Agile, Scrum, Communication","Health insurance, bonus",3-5 years,Bachelor's Degree,Information Tech,Analytics,0,1
7,Software Engineer,Software Engineer role with responsibilities in analytics.,"Bangalore, IN",AI Solutions,"Java, React, SQL",Health insurance,3-5 years,Bachelor's Degree,Marketing,Management,0,1
8,Product Manager,Product Manager role with responsibilities in HR management.,"Chennai, IN",Creatives Studio,"SQL, Excel, Power BI","Health insurance, bonus",2-3 years,Bachelor's Degree,Design,Business Analysis,0,1
9,Machine Learning Engineer,Machine Learning Engineer role with responsibilities in software development.,"Pune, IN",DataCorp,"Agile, Scrum, Communication",Paid leave,2-4 years,MBA,Consulting,UI/UX,0,1
10,Data Scientist,Data Scientist role with responsibilities in HR management.,"Chennai, IN",Creatives Studio,"Python, SQL, ML",Stock options,3-5 years,MBA,IT Services,IT Operations,0,1
11,Marketing Analyst,Marketing Analyst role with responsibilities in design.,"Chennai, IN",XYZ Pvt Ltd,"Communication, Recruitment",Health insurance,3-5 years,Bachelor's Degree,Consulting,Analytics,0,1
12,HR Manager,HR Manager role with responsibilities in design.,"Chennai, IN",Creatives Studio,"Networking, Linux",Health insurance,3-5 years,MBA,Finance,Business Analysis,0,1
13,Data Analyst,Data Analyst role with responsibilities in software development.,"Mumbai, IN",Innovatech,"Python, TensorFlow, ML",Flexible timing,2-3 years,MBA,IT Services,Analytics,0,1
